"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Jose K Mani";"KEC(M)";"0";"Post Graduate";"44";"9651729";"0";"Yes";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Adv Jaimon Thankacha";"IND";"0";"Graduate Professional";"39";"216700";"10000";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Adv Suresh Kurup";"CPM";"0";"Graduate Professional";"52";"3866004";"11250";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Anto P Joh";"IND";"0";"Graduate";"41";"10020590";"500000";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Babu";"IND";"0";"8th Pass";"41";"1321595";"693400";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Jos";"IND";"0";"10th Pass";"45";"2404500";"75000";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Jose K Ma";"IND";"0";"10th Pass";"32";"15000";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Jose Matew";"IND";"0";"10th Pass";"32";"201200";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Juno John Baby";"IND";"0";"Graduate";"34";"916427";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"K Rajappa";"IND";"0";"8th Pass";"57";"1490841";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"K T Mathew";"IND";"0";"Graduate";"50";"72450000";"2140374";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"M S Raveendra";"IND";"0";"10th Pass";"49";"10800";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Mini K Philip";"IND";"0";"Graduate";"41";"37200";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Sasikuttan Vakathanam";"IND";"0";"10th Pass";"53";"630690";"30010";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Spencer Marks";"BSP";"0";"Graduate Professional";"39";"10000";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Suresh Kumar  T R";"IND";"0";"10th Pass";"36";"37000";"97000";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Suresh Kumar K";"IND";"0";"10th Pass";"33";"656000";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Suresh Kurumba";"IND";"0";"10th Pass";"36";"259390";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
"Suresh N B Kurup";"IND";"0";"8th Pass";"26";"18000";"0";"No";"Kottayam";"KERALA";"2009";"Lok Sabha";"No Comment"
