"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"M B Rajesh";"CPM";" 16";"Post Graduate";"38";"1105474";"504893";"Yes";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"A Arokiasamy";"IND";"0";"10th Pass";"61";"32000";"0";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"Abdul Rassaq Moulav";"NCP";"0";"8th Pass";"47";"1407810";"0";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"C K Padmanabha";"BJP";" 2";"10th Pass";"60";"1031100";"0";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"Chandran V";"BSP";"0";"10th Pass";"63";"4520897";"1873184";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"M R Mural";"IND";" 1";"12th Pass";"43";"2942000";"300000";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"N V Rajesh";"IND";"0";"5th Pass";"35";"31000";"0";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"Satheesan E V";"IND";"0";"10th Pass";"81";"1580500";"0";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"Satheesan Pach";"INC";" 1";"12th Pass";"41";"332257";"0";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
"Vijayan Ambalakkad";"IND";"0";"8th Pass";"42";"455100";"3655";"No";"PALAKKAD";"KERALA";"2009";"Lok Sabha";"No Comment"
