"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Anto Antony";"INC";"0";"Graduate";"52";"1424205";"1706713";"Yes";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Ananthagopa";"CPM";" 2";"Not Given";"61";"2942277";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Anto";"IND";"0";"Graduate";"33";"3503";"20979";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Jyothish M R";"IND";" 1";"10th Pass";"37";"0";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Karunakaran Na";"BSP";"0";"Not Given";"78";"3110000";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Kunju Pilla";"IND";"0";"10th Pass";"60";"219700";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Mani C Kapp";"NCP";" 4";"Post Graduate";"51";"102402005";"23100000";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Mathew Parey";"IND";"0";"Graduate";"26";"0";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Niranam Raja";"IND";"0";"Graduate";"47";"7000";"200000";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Pushpangada";"IND";"0";"10th Pass";"40";"175700";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Radhakrishna Meno";"BJP";"0";"Graduate";"44";"4653040";"801400";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
"Thamp";"IND";"0";"12th Pass";"40";"0";"0";"No";"PATHANAMTHITTA";"KERALA";"2009";"Lok Sabha";"No Comment"
