"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"P C Chacko";"INC";"0";"Post Graduate";"62";"16335679";"0";"Yes";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"Adv Joshy Thakara";"BSP";" 1";"Graduate";"42";"1671800";"0";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"Adv N Hariharan Na";"IND";"0";"Graduate Professional";"63";"18300000";"230000";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"Ajayakumar Kuttikkat";"JD(U)";" 3";"12th Pass";"37";"220000";"0";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"C N Jayadeva";"CPI";"0";"Post Graduate";"58";"4710500";"347025";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"E A Joseph";"IND";"0";"10th Pass";"49";"1042000";"0";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"Kunjan Pulaya";"IND";" 2";"5th Pass";"52";"220";"8000";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"N K Rav";"IND";"0";"10th Pass";"46";"151000";"5500";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"P C Saju";"IND";" 2";"10th Pass";"34";"5000";"0";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
"Rema Reghunantha";"BJP";"0";"Post Graduate";"48";"3415000";"1500000";"No";"THRISSUR";"KERALA";"2009";"Lok Sabha";"No Comment"
