"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ADVOCATE AZHAR UL ALIM";"IND";"0";"Post Graduate";"58";"7946200";"250000";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AJAB LAL";"BSP";"0";"Graduate";"35";"425000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"ANJU ASHOK UIKEY";"IND";"0";"12th Pass";"34";"1692594";"81000";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"BHAIYA BALKRISHNA";"GGP";" 6";"Graduate";"53";"69242636";"27951381";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DARBU SINGH UIKEY";"GMS";" 2";"12th Pass";"37";"1325000";"231191";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DHANESHWAR LILHARE";"IND";"0";"10th Pass";"40";"58000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"GOVARDHAN PATLE URF HITLAR";"IND";"0";"5th Pass";"75";"20000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JITENDRA MESHRAM";"IND";"0";"12th Pass";"37";"0";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KALPANA GOPAL WASNIK";"RPI(A)";"0";"Literate";"38";"22500";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KISHOR SAMRITE";"SP";"0";"Graduate";"42";"40000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"MANSINGH BISEN";"IND";"0";"Graduate";"59";"2876000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"NYAZMIR KHAN";"IND";"0";"5th Pass";"32";"22000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"POORANLAL LODHI";"IND";"0";"10th Pass";"37";"75000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SANDEEP SANTRAM";"IND";"0";"Not Given";"31";"0";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHRIRAM THAKUR";"IND";"0";"10th Pass";"58";"1995000";"0";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"VISHVESHWAR BHAGAT";"INC";"0";"Others";"57";"28360000";"50000";"No";"BALAGHAT";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
