"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ASHOK ARGAL";"BJP";" 4";"12th Pass";"39";"7972241";"100000";"Yes";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"BHAGIRATH";"IND";"0";"Graduate";"33";"140000";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"D.R.RAHUL";"BSP";"0";"Graduate Professional";"58";"9345000";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DR. BHAGIRATH PRASAD";"INC";"0";"Doctorate";"61";"17967761";"3909323";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"LALARAM";"IND";"0";"Literate";"46";"114000";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"NAND KISHOR KORI";"SP";"0";"Literate";"43";"157000";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"R.J.JATAV";"IND";"0";"Literate";"48";"96000";"130000";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMSEVAK MORYA";"IND";"0";"10th Pass";"43";"418000";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHAILENDRA SINGH ALIAS KALLU";"IND";"0";"12th Pass";"25";"20500";"110000";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHANKAR LAL VERMA";"BHBP";"0";"Post Graduate";"70";"1094019";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHRIRAM RAHUL";"BMM";"0";"12th Pass";"41";"1060000";"0";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"TULSIRAM DHANUK THEKEDAR";"IVD";"0";"Illiterate";"60";"483000";"336000";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"VEERENDRA KUMAR GOYAL";"IND";"0";"12th Pass";"40";"845719";"8000";"No";"BHIND";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
