"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ABDUL SHAMAD KHAN";"IND";"0";"Graduate";"45";"1730000";"80000";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AMRITLAL PATHAK RAGHUVAR";"IND";"0";"12th Pass";"70";"2099500";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"ASHARAM DEHARIYA";"IND";"0";"10th Pass";"33";"61357";"50000";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AZAD CHANDRASHEKHER PANDOLE SAMAJ SEVAK";"IND";"0";"Not Given";"42";"0";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"BALVEER SINGH YADAV";"RKSP";"0";"12th Pass";"30";"125500";"87500";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DHANPAL BHALAVI";"IND";"0";"8th Pass";"35";"192300";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DHANRAJ JAMBHATKAR";"IND";"0";"Not Given";"37";"0";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DUARAM UIKEY";"IND";"0";"10th Pass";"40";"250000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"GANARAM UIKEY";"IND";"0";"Literate";"53";"830000";"30000";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JAGDISH BAIS";"IND";"0";"Graduate";"35";"40000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JOGILAL IRPACHI";"JMM";"0";"Graduate";"48";"3300000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KAMALNATH (MAYAWADI-PARASIA)";"IND";"0";"8th Pass";"31";"40000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"MANMOHAN SHAH BATTI";"IND";" 7";"Post Graduate";"46";"1318000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"MAROT RAO KHAVASE";"BJP";"0";"Post Graduate";"59";"5455000";"450000";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"NARESH KUMAR YUVNATI";"IND";"0";"10th Pass";"33";"157000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"NIKHILESH DHURVEY";"IND";"0";"Post Graduate";"30";"185000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"PARDHESHI HARTAPSAH TIRKAM";"GMS";"0";"12th Pass";"40";"4700000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"PITRAM UIKEY";"IND";"0";"Literate";"48";"550000";"235000";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"PRAVINDRA NAURATI";"IND";"0";"12th Pass";"37";"1015889";"475000";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"R.K. MARKAM";"IND";"0";"8th Pass";"28";"445600";"200120";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMKISHAN PAL";"RPI(A)";"0";"Graduate";"62";"590000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAO SAHEB SHINDE";"BSP";" 3";"Graduate";"46";"4575000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SATAP SHA UIKEY";"GGP";"0";"Graduate";"35";"165000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHOAIB KHAN";"IND";"0";"Graduate";"44";"0";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SUBHASH SHUKLA";"IND";"0";"10th Pass";"40";"3000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SUKMAN INVATI";"IND";"0";"Illiterate";"42";"120000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"TULSIRAM SURYAWANSHI";"IND";"0";"Graduate";"62";"307000";"0";"No";"CHHINDWARA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
