"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SHIVRAJ BHAIYA";"BJP";"0";"12th Pass";"68";"8929326";"286513";"Yes";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AHIR KAMLA YADAV";"SP";"0";"Literate";"55";"5250000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"BHAGIRATH KURMI";"RDMP";"0";"5th Pass";"64";"1151000";"180000";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"CHANDRABHAN BHAIYA JATASHANKAR COLONY DAMOH";"IND";"0";"5th Pass";"45";"35000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"CHANDRABHAN BHAIYA PARSORIA NAHAR";"IND";"0";"12th Pass";"37";"261532";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"GAFFAR ALI";"IND";"0";"Post Graduate";"70";"2650000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"GOPAL BHAIYA";"IND";"0";"10th Pass";"45";"30000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"HARIRAM THAKUR";"GGP";" 2";"Not Given";"37";"250000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JANKI PRASAD";"IND";"0";"Graduate";"62";"431000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JAYANT BHAIYA";"IND";"0";"8th Pass";"31";"30000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KASHIRAM ALIAS KAMLESH DHURVE";"GMS";"0";"8th Pass";"35";"0";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"MANOJ DEVALIYA";"BJBP";" 2";"12th Pass";"28";"50000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"NANNE LAL";"IND";"0";"5th Pass";"52";"75500";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMPHOOL DAHAYAT";"IND";"0";"10th Pass";"39";"145000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIV RAJ ALIAS BADE BHAIYA";"IND";"0";"Illiterate";"47";"81660";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVRAJ BHAIYA";"SVSP";"0";"12th Pass";"68";"8929326";"286513";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVRAJ BHAIYA BADE THAKUR";"IND";"0";"5th Pass";"25";"70000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVRAJ SINGH BANDA";"IND";"0";"10th Pass";"34";"33833";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVRAJ SINGH NAYAKHEDA APPCHAND";"IND";"0";"Literate";"35";"31500";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"VIJAY SINGH RAJPOOT";"IND";"0";"12th Pass";"32";"70000";"0";"No";"Damoh";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
