"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"JEETENDRA SINGH";"BJP";"0";"Post Graduate";"50";"10596506";"0";"Yes";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AKANCHHA JAIN";"IND";"0";"Literate";"34";"20000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AKEEL KHAN";"IND";"0";"10th Pass";"43";"55000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JAYAWANT SINGH";"SP";"0";"Post Graduate";"49";"5357000";"200000";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KRISHNA SHARAN SINGH (RAJA BHAIYA)";"IND";"0";"10th Pass";"36";"1659336";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"M. SHAKIL";"GMS";" 2";"8th Pass";"38";"1173000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"NARENDRA KUMAR";"IND";"0";"Post Graduate";"54";"4202000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJA PATERYA";"INC";"0";"12th Pass";"49";"15437836";"838003";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJENDRA AHIRWAR";"IND";"0";"12th Pass";"43";"60000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM NATH LODHI";"IND";"0";"Literate";"41";"2201000";"315000";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SAROJ BACHCHAN NAYAK";"JD(U)";"0";"Post Graduate";"56";"6275763";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SEWA LAL PATEL";"BSP";"0";"8th Pass";"49";"4305400";"120000";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHABNAM (MAUSI)";"IND";"0";"Illiterate";"48";"4381100";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHUKL SITARAM";"IND";"0";"10th Pass";"48";"862000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SURYA BHAN SINGH (YADAV GURUJI)";"AIFB";"0";"Post Graduate";"75";"4702000";"0";"No";"KHAJURAHO";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
