"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"BASORI SINGH MASRAM";"INC";"0";"8th Pass";"59";"3621178";"350000";"Yes";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"BHAGAT SINGH VARKEDE";"LJP";"0";"Literate";"45";"560000";"7000";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"CHAMBAL SING MARAWEE";"IND";"0";"Literate";"62";"181200";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"CHANDRA SHEKHAR DHURWEY";"IND";"0";"Graduate";"46";"1445000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DEV SINGH BHALAVI";"IND";"0";"5th Pass";"25";"190000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"FAGGAN SINGH KULASTE";"BJP";"0";"Post Graduate";"49";"10164370";"493312";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JALSO DHURWEY";"BSP";"0";"Not Given";"26";"20000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"JHANK SINGH KUSHRE";"GGP";"0";"Graduate";"37";"2450000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"MANESHWARI NAIK";"RPI(A)";"0";"12th Pass";"65";"1147000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"PREM SINGH MARAVI";"GMS";"0";"Post Graduate";"35";"925000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SAHDEO PRASAD MARAVI";"IND";"0";"Graduate";"43";"74377";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVCHARAN UIKEY";"IND";"0";"Graduate";"26";"130000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SUNITA NETI";"RDMP";"0";"Literate";"33";"3035000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"UDAL SINGH DHURWEY";"LKSP";"0";"Graduate";"35";"450000";"0";"No";"MANDLA";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
