"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"VIRENDRA KUMAR";"BJP";"0";"Doctorate";"55";"2551466";"0";"Yes";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AHIRWAR GYADIN";"IND";" 1";"12th Pass";"42";"1285715";"97500";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AHIRWAR JAGDISH PRASAD";"LJP";"0";"Graduate";"28";"37000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AHIRWAR RAMSWAROOP";"IND";"0";"Not Given";"38";"460521";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"AHIRWAR VRINDAVAN";"INC";"0";"12th Pass";"39";"163000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"CHAMAN LAL";"IND";"0";"8th Pass";"74";"61500";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"CHINTAMAN KORI RAMPURIYA";"SP";"0";"12th Pass";"64";"5282383";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"DAYARAM";"IND";"0";"8th Pass";"30";"150000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"G.D.";"BSP";"0";"Graduate Professional";"62";"2007070";"50000";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KAMLAPAT KUMHAR";"IND";"0";"8th Pass";"40";"660000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"KHARGA PRASAD";"IND";"0";"8th Pass";"58";"389000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"LAXMI PRASAD AHIRWAR";"IND";"0";"10th Pass";"40";"525000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"PARWAT LAL";"IND";"0";"12th Pass";"35";"817600";"155000";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMCHARAN AHIRWAR";"IND";"0";"5th Pass";"47";"468000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"SHRIPAT SHIKSHAK";"IND";"0";"12th Pass";"37";"173000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"VISHAN LAL BASHNKAR";"PRSP";"0";"Illiterate";"43";"230000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
"VRINDAVAN AHIRWAR";"IND";"0";"12th Pass";"39";"163000";"0";"No";"TIKAMGARH";"MADHYA PRADESH";"2009";"Lok Sabha";"No Comment"
