"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KOWASE MAROTRAO SAINUJI";"INC";"0";"Graduate";"59";"10776756";"500000";"Yes";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ADV. DADMAL PRABHAKAR MAHAGUJI";"PRBP";"0";"Post Graduate";"54";"1506000";"60326";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ASHOK MAHADEORAO NETE";"BJP";" 9";"12th Pass";"45";"14429139";"5277832";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ATRAM RAJE SATYAWANRAO";"BSP";" 2";"Graduate";"58";"13480016";"0";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"DINESH TUKARAM MADAVI";"IND";"0";"Post Graduate";"28";"105000";"400000";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"JAMBHULE NARAYAN DINABAJI";"IND";"0";"Graduate Professional";"55";"5915000";"973000";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"NAMDEO ANANDRAO KANNAKE";"CPI";"0";"Post Graduate";"50";"3985000";"250000";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"PENDAM DIWAKAR GULAB";"BBM";"0";"8th Pass";"38";"2025000";"0";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"PENDAM PURUSHOTTAM ZITUJI";"DESEP";"0";"10th Pass";"35";"50000";"0";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"VIJAY SURAJSING MADAVI";"GGP";"0";"12th Pass";"39";"0";"0";"No";"GADCHIROLI-CHIMUR";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
