"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SUBHASH BAPURAO WANKHEDE";"SHS";" 4";"10th Pass";"46";"3488000";"484000";"Yes";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"AJAS NOORMINYA";"DESEP";"0";"10th Pass";"32";"60000";"0";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"DR. B.D. CHAVHAN";"BSP";"0";"Post Graduate";"45";"9067000";"2209000";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"GUNDEKAR SANJAY ADELU";"IND";"0";"Not Given";"35";"0";"0";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"MD. A. MUJIM ANSARI A.";"IND";"0";"12th Pass";"33";"875000";"60000";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"NAIK MADHAVRAO BAHENARAO";"BBM";"0";"Post Graduate";"65";"18087291";"1220000";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"PACHPUTE RAMPRASAD KISHANRAO";"IND";"0";"12th Pass";"41";"7029042";"65068";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"PATHAN SATTAR KASIMKHAN";"IND";" 1";"12th Pass";"38";"20000";"60000";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"SURYAKANTA JAIWANTRAO PATIL";"NCP";" 1";"Graduate";"63";"10148451";"390000";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"UTTAMRAO DAGADUJI BHAGAT";"PRBP";"0";"Graduate Professional";"65";"3515000";"41000";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"VINAYAK SHRIRAM BHISE";"KM";" 10";"12th Pass";"33";"778000";"0";"No";"HINGOLI";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
