"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KALMADI SURESH";"INC";" 1";"Post Graduate";"64";"128165624";"0";"Yes";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ADAGALE BHAUSAHEB RAMCHANDRA";"IND";"0";"10th Pass";"48";"831500";"40000";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ADV.SUBHASH NARHAR GODSE";"IND";"0";"Graduate";"59";"205720";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"AJAY VASANT PAITHANKAR";"IND";"0";"Graduate";"49";"3036382";"400000";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ARUN BHATIA";"PG";"0";"Post Graduate";"66";"220179000";"205140";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"ASHOK GANPAT PALKHE ALIAS SUTAR";"IND";"0";"Literate";"45";"204000";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"BAGADE SACHIN MARUTI";"IND";"0";"Post Graduate";"29";"0";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"BAGBAN JAVED KASIM";"Indian Union Muslim League";"0";"Graduate";"26";"2000";"48000";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"BHAGWAT RAGHUNATH KAMBLE";"IND";"0";"Literate";"35";"65000";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"BHARAT MANOHAR GAVALI";"IND";"0";"8th Pass";"65";"58661";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"CHOUDHARI SUNIL GULABRAO";"IND";"0";"Post Graduate";"41";"70985000";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"CHOURE VILAS CHINTAMAN";"IND";"0";"Graduate";"45";"51000";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"D S K ALIAS D.S.KULKARNI";"BSP";"0";"12th Pass";"58";"297271842";"20728978";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"DATTATRAYA GANESH TALGERI";"IND";"0";"Post Graduate";"61";"76000";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"GULAB TATYA WAGHMODE";"BBM";"0";"Post Graduate";"47";"2677000";"906000";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"KAMTAM ISWAR SAMBHAYYA";"IND";"0";"Literate";"67";"210211";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"KHAN AMANULLA MOHMOD AL";"IND";" 1";"12th Pass";"55";"22718205";"9530000";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"KULKARNI KAUSTUBH SHASHIKANT";"IND";"0";"12th Pass";"26";"50000";"0";"No";"Pune";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
