"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"HARIBHAU MADHAV JAWALE";"BJP";"0";"Graduate";"55";"7842881";"629917";"Yes";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"BAPU SAHEBRAO SONAWANE";"PRCP";"0";"10th Pass";"30";"0";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"D.D. WANI (PHOTOGRAPHER) (DYNESHWAR DIWAKAR WANI)";"IND";" 1";"10th Pass";"43";"57000";"6992";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"FIRKE SURESH KACHARU EX ACP (CRPF)";"IND";"0";"Literate";"58";"615489";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"IQBAL ALAUDDIN TADVI";"IND";"0";"Literate";"41";"0";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"MAKBUL FARID SK.";"IND";"0";"Literate";"36";"11000";"45000";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"MARATHE BHIMRAO PARBAT";"KM";" 2";"10th Pass";"51";"1926000";"216525";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"MOHD. MUNAWWAR MOHD. HANIF";"IND";"0";"10th Pass";"45";"739184";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"MORE HIRAMAN BHONAJI";"IND";"0";"5th Pass";"41";"15000";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"PATIL SURESH CHINDHU";"BSP";" 5";"10th Pass";"49";"30620000";"3399686";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"SANJAY PRALADH KANDELKAR";"IND";"0";"Literate";"34";"20000";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"SHAIKH RAMJAN SHAIKH KARIM";"IND";"0";"Literate";"40";"0";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"SHIVAVEER DNYANESHWAR VITTHAL AMALE URPH AMALE SARKAR";"SVRP";" 3";"12th Pass";"26";"278000";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"SUJATA IBRAHIM TADAVI";"IND";"0";"10th Pass";"45";"15000";"90000";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"UTTAM KASHIRAM INGALE";"IND";" 3";"12th Pass";"36";"100000";"5000";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
"VIVEK SHARAD PATIL";"IND";"0";"Graduate";"41";"320000";"0";"No";"RAVER";"MAHARASHTRA";"2009";"Lok Sabha";"No Comment"
