"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DR. RATTAN SINGH AJNALA";"SAD";" 1";"Graduate Professional";"65";"18774102";"0";"Yes";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"BALKAR SINGH";"BGTD";"0";"Post Graduate";"55";"50149000";"150124";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"DARSHAN SINGH";"All India Dalit Welfare Congress";"0";"10th Pass";"44";"4472000";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"GIAN KAUR";"IND";"0";"Literate";"45";"360000";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"GURJIT SINGH";"IND";"0";"8th Pass";"36";"1866997";"88000";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"HARJIT SINGH";"IND";"0";"10th Pass";"37";"763000";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"JASPAL SINGH";"IND";"0";"12th Pass";"38";"812200";"476498";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"KANWAR PARTAP SINGH";"IND";"0";"10th Pass";"41";"899000";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"MOHINDER SINGH";"LJP";"0";"5th Pass";"43";"10000";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"PRAGAT SINGH";"IND";"0";"10th Pass";"41";"765000";"25000";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"RAJINDER RIKHI";"IND";"0";"Graduate";"34";"307313";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"RAJINDER SINGH";"IND";"0";"Not Given";"43";"0";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"RANA GURJEET SINGH";"INC";"0";"10th Pass";"57";"340927000";"8840000";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"SUKHWANT SINGH";"IND";"0";"Not Given";"49";"20000";"0";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"SURINDER SINGH SHAHI";"BSP";"0";"10th Pass";"51";"3785794";"650000";"No";"Khadoor Sahib";"PUNJAB";"2009";"Lok Sabha";"No Comment"
