"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"PRENEET KAUR";"INC";"0";"Graduate";"64";"423043438";"0";"Yes";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"ARUN SOOD";"IND";" 1";"12th Pass";"35";"273111";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"BANT SINGH";"IND";"0";"10th Pass";"60";"1248000";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"BARJESH BATTA";"LJP";"0";"12th Pass";"54";"1340348";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"DEEPAK JOSHI";"BSP";" 1";"Graduate";"52";"38803000";"3690180";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"HARWINDER SINGH";"IND";"0";"12th Pass";"26";"7231500";"700000";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"KARAMJIT SINGH";"IND";" 1";"Post Graduate";"48";"3362517";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"KULDIP SINGH GREWAL";"IND";"0";"Graduate Professional";"65";"7231516";"6390";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"PREM SINGH";"SAD";"0";"Post Graduate";"59";"29542222";"1000000";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"SANJIV KAUSHAL";"IND";"0";"12th Pass";"35";"4470000";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"SATISH KUMAR";"IND";"0";"Not Given";"29";"1850471";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"SOHAN SINGH";"IND";"0";"Not Given";"57";"773000";"0";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
"SURINDER KUMAR";"IND";"0";"5th Pass";"41";"103027";"135000";"No";"PATIALA";"PUNJAB";"2009";"Lok Sabha";"No Comment"
