"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"GIRIJA VYAS";"INC";" 1";"Doctorate";"62";"8721354";"0";"Yes";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"A B SINGH";"BSP";"0";"Post Graduate";"63";"3347551";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BHAWNA DEVI";"Akhil Bharatiya Congress Dal (Ambedkar)";"0";"12th Pass";"39";"3473000";"309000";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"GUNWANT LAL SHARMA";"IND";"0";"Graduate Professional";"42";"6976000";"290000";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"JASWANT SINGH";"IND";"0";"Graduate Professional";"35";"2250170";"203472";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"KARU LAL MEENA";"CPI(ML)(L)";"0";"10th Pass";"45";"45200";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"KRISHNA SINGH";"JGP";"0";"Post Graduate";"63";"5209000";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"LAXMAN LAL JAT";"IND";"0";"10th Pass";"56";"1617500";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"LEHRU";"IND";"0";"Literate";"54";"120000";"21000";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RADHA DAVI";"CPI";"0";"Post Graduate";"51";"5256492";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAM CHANDRA JOSHI";"IND";"0";"Graduate";"64";"1649900";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SANTOSH JOSI";"IND";"0";"5th Pass";"44";"2205000";"40000";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHIVANGI SHASTRI";"IND";"0";"10th Pass";"33";"1548805";"288000";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHRI CHAND KRIPLANI";"BJP";"0";"Graduate";"52";"5901396";"750581";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SITARAM  GUJHAR";"IND";"0";"5th Pass";"45";"37000";"0";"No";"CHITTORGARH";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
