"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"LAL CHAND KATARIA";"INC";"0";"10th Pass";"40";"30650401";"702835";"Yes";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BANWARI LAL MALI";"IND";"0";"Not Given";"67";"1549500";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"CHHITAR MAL";"IND";"0";"5th Pass";"50";"58000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DHUNHI LAL DHUHARIYA";"IND";"0";"10th Pass";"65";"1720000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DR MUKARRAM ALI";"IND";"0";"Graduate";"54";"1003398";"9040";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"KALU RAM";"IND";"0";"Not Given";"58";"2648100";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"KESHAV RAM SHARMA";"BSSPA";"0";"Graduate";"36";"264500";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MATADEEN DHANAKA";"IND";"0";"10th Pass";"61";"252000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RADHEY SHYAM MEENA";"IND";"0";"8th Pass";"45";"3869150";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAJENDRA";"Rajasthan Vikas Party";" 1";"12th Pass";"38";"6361125";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAJESH";"BSP";"0";"Graduate";"42";"4004996";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAM NIWAS";"IND";"0";"8th Pass";"58";"3599000";"1100000";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAM NIWAS YADAV";"JD(U)";"0";"Post Graduate";"43";"3440000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAO RAJENDRA SINGH";"BJP";"0";"Graduate";"51";"186553917";"1000000";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"ROHIT KULDEEP RAIGER";"IND";"0";"10th Pass";"37";"7182300";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHANKAR LAL BUNKAR";"IND";"0";"Graduate";"37";"446000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SITA RMA BUNKAR";"IND";"0";"10th Pass";"40";"1030000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SRAVAN LAL YADAV";"RBD";"0";"Graduate";"39";"4116000";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SUBHASH CHANDER";"IND";"0";"10th Pass";"57";"2199775";"1478478";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SUKHBIR SINGH JAUNAPURIA";"IND";" 1";"12th Pass";"51";"67443587";"0";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"VRADHI CHAND KUMAWAT";"IND";"0";"Post Graduate";"52";"2460000";"137500";"No";"JAIPUR RURAL";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
