"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DEV JI PATEL";"BJP";"0";"10th Pass";"32";"11261830";"0";"Yes";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BAGDA RAM";"IND";"0";"8th Pass";"54";"243000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BHANWAR LAL WAGHELA";"IND";"0";"12th Pass";"29";"25000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BUTA SINGH";"IND";"0";"Doctorate";"74";"12853656";"2007656";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"CHHAGAN LAL";"IJP";"0";"Literate";"52";"375000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"CHHAGAN LAL MEGHWAL";"IND";"0";"10th Pass";"33";"390000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"CHHAGAN mal";"IND";"0";"5th Pass";"35";"430000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DINESH KUMAR";"LJP";"0";"10th Pass";"65";"10978584";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"GANGA  SINGH";"SP";"0";"10th Pass";"32";"2530820";"1110";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"GOPAL RAM";"IND";" 1";"5th Pass";"30";"3442000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"HAZARIMAL";"IND";"0";"8th Pass";"63";"185000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MAGARAM";"BSP";"0";"12th Pass";"37";"8600000";"775000";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MUKESH SUNDESHA";"IND";"0";"Graduate";"27";"300000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"NANDA DEVI";"Rajasthan Vikas Party";" 1";"Not Given";"36";"905000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"POKRA RAM";"IND";"0";"5th Pass";"60";"1640000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"PRABHU SINGH";"IND";"0";"12th Pass";"41";"1720000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAMDAV ACHHARIYA";"IND";"0";"Literate";"64";"911000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SAKAJI MEGHWAL";"IND";"0";"Literate";"63";"50000";"0";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SANDHYA";"INC";"0";"12th Pass";"42";"9230028";"555000";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHANTI PARMAR";"IND";"0";"10th Pass";"48";"1577853";"290430";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SUKHRAJ";"IND";"0";"Not Given";"66";"46462510";"595000";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"VIKRANT SEXENA";"IND";"0";"Graduate Professional";"45";"2729000";"846590";"No";"Jalore";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
