"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DUSHYANT SINGH";"BJP";"0";"Post Graduate";"38";"64110900";"2779153";"Yes";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"ABDUL FARID";"IND";"0";"Post Graduate";"39";"60000";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"ABDUL QAYYUM";"BSP";"0";"Graduate";"37";"811200";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DUSHYANT KUMAR";"IND";"0";"Post Graduate";"28";"20000";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"FAZAR MOHAMMAD";"IND";" 1";"10th Pass";"69";"4852000";"50000";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"GHASI LAL";"BHBP";"0";"Post Graduate";"40";"689535";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"JAGDISH";"IND";"0";"8th Pass";"32";"76000";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"Jhapatmal";"IND";"0";"5th Pass";"35";"82000";"150000";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"LAXMAN KUMAR";"IND";" 1";"5th Pass";"32";"620566";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MOHAMMAD RAFIQ";"IND";"0";"Not Given";"35";"0";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHOBHA DEVI";"IND";"0";"10th Pass";"35";"1006500";"95000";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SULEMAN";"IND";" 1";"5th Pass";"41";"60000";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"TARA CHAND";"IND";"0";"8th Pass";"37";"18741";"0";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"URMILA BAI";"INC";"0";"12th Pass";"36";"55861283";"2929997";"No";"JHALAWAR-BARAN";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
