"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"CHANDRESH KUMARI";"INC";"0";"12th Pass";"65";"132881067";"60744";"Yes";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"ASLAM KHAN";"IND";"0";"8th Pass";"30";"718750";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"CHAMPA LAL";"IND";"0";"5th Pass";"60";"2270000";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"CHANDRAKANTA";"IND";"0";"Not Given";"34";"231000";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DEVA RAM";"IND";"0";"Graduate";"27";"442306";"45000";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DIDAR";"IND";"0";"Not Given";"40";"1704700";"25000";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DILIP SINGH RAJPUROHIT";"IND";"0";"Graduate";"46";"260000";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DINESH KUMAR";"IND";"0";"Graduate Professional";"44";"1976858";"543000";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"GURDAN SINGH";"JKNPP";"0";"8th Pass";"43";"480000";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"JASWANT SINGH";"BJP";"0";"Graduate Professional";"50";"20380026";"3084136";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MEHMUDA BEGUM ABBASI";"IND";"0";"Literate";"52";"978000";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MOHMAD ARIF";"IND";"0";"5th Pass";"32";"162365";"200774";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAJURAM";"BSP";"0";"Graduate";"43";"5185787";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"Vijay kuma";"IND";" 2";"Graduate";"26";"1304";"0";"No";"JODHPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
