"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KHILADI LAL BAIRWA";"INC";"0";"Graduate";"45";"62802340";"5693479";"Yes";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BHANWARI";"IND";"0";"8th Pass";"41";"285000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DR MANOJ RAJORIA";"BJP";"0";"Post Graduate";"39";"12808000";"2251000";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"GANARAM";"IND";"0";"Literate";"78";"6811200";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"Hattiram";"BSP";"0";"5th Pass";"61";"4375000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"JAGAN LAL";"IND";"0";"10th Pass";"72";"1983722";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"KANCHAN BAI";"IND";"0";"Not Given";"50";"615000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"Lakhan singh";"IND";"0";"Post Graduate";"58";"675000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"LALARAM DHOVI";"IND";"0";"Literate";"37";"3282500";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"OM PRAKASH";"IND";"0";"5th Pass";"55";"610000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAM VILAS";"IND";"0";"5th Pass";"46";"1411500";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAMESH";"SP";"0";"10th Pass";"57";"748000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"REKHA";"IND";"0";"12th Pass";"32";"1087000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHREE LAL BAIRWA";"IND";"0";"12th Pass";"38";"4189199";"606875";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SHREE LAL KHARE";"LJP";"0";"Not Given";"54";"380000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"VIJAY SINGH";"IND";"0";"Not Given";"36";"720000";"0";"No";"KARAULI-DHOLPUR";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
