"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"MAHADEV SINGH";"INC";"0";"Post Graduate";"66";"7879689";"0";"Yes";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"AJAYPAL";"IND";"0";"10th Pass";"48";"1668470";"109000";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"AMARA RAM";"CPM";"0";"Post Graduate";"54";"1902684";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BHAGVAN SAHAY";"LJP";"0";"8th Pass";"47";"460440";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"BHARAT SINGH";"BSP";" 1";"8th Pass";"34";"84618325";"9719032";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DEVENDER KUMAR";"SP";"0";"Graduate";"54";"1662455";"375000";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"DP KUMAWAT";"Rajasthan Vikas Party";"0";"12th Pass";"48";"741353";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"HANUMAN SAHAI BUNKAR";"IND";"0";"Graduate Professional";"50";"6596500";"1000000";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"HEM CHAND RGARWAL";"BCP";"0";"12th Pass";"38";"189000";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"JUGAL KISHOR MEGHAWAL";"IND";"0";"Not Given";"31";"40000";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MAHABEER PRASAD";"IND";"0";"Not Given";"53";"476000";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MAHESH KUMAR";"IND";" 4";"Post Graduate";"29";"405000";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"MAKHAN LAL SAINI";"JGP";"0";"Post Graduate";"31";"600000";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"RAMESH CHANDRA SHARMA";"IND";"0";"Graduate";"58";"3175148";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SITA DEVI";"BHBP";"0";"Literate";"41";"1077795";"0";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
"SUBHASH MAHARIA";"BJP";"0";"Graduate";"52";"23383778";"5400170";"No";"Sikar";"RAJASTHAN";"2009";"Lok Sabha";"No Comment"
