"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"CHITTHAN N S V";"INC";"0";"Graduate";"75";"17035764";"0";"Yes";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"BAALASUBRAMANI P";"ADMK";"0";"12th Pass";"53";"25028810";"1207770";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"DAISY RANI S";"RKSP";" 1";"10th Pass";"46";"500000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"DHANASEELI K";"IND";"0";"12th Pass";"33";"383889";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"DURAI K";"IND";"0";"10th Pass";"27";"14500";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"KARUPPUSAMY P";"IND";"0";"8th Pass";"45";"242640";"85000";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"LOGANATHAN V";"SP";"0";"Graduate";"29";"31000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MAHAMUNI S";"IND";"0";"10th Pass";"26";"0";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MANIKANDA PRABU G";"IND";"0";"10th Pass";"28";"0";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MOTILAL K.A";"IND";"0";"8th Pass";"53";"94000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MUTHUVELRAJ P";"DMDK";"0";"Post Graduate";"59";"316178200";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAMARAJ P";"IND";"0";"12th Pass";"28";"650000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SADHASIVAM N";"IND";"0";"Post Graduate";"59";"975895";"200000";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SELLAMUTHU K M";"KNMK";"0";"8th Pass";"38";"10369265";"150000";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SELVARAJ I";"Akhila India Jananayaka Makkal Katchi (Dr. Is";"0";"Others";"40";"153600";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SHEIK AYUB KHAN S";"IND";"0";"Not Given";"42";"155000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SRINIVASA BABU M";"BSP";"0";"Graduate";"31";"91600";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SUBRAMANIAN R";"IND";"0";"10th Pass";"58";"50000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"THANGAPANDIAN R";"IND";" 2";"Not Given";"38";"310000";"0";"No";"DINDIGUL";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
