"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SIVAKUMAR @ J.K. RITHEESH. K";"DMK";" 2";"Graduate";"36";"122820653";"4000000";"Yes";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"BALAMURUGAN";"IND";"0";"Not Given";"27";"5000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"BASKARAN. P";"IND";"0";"8th Pass";"59";"11000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"CHELLA DURAI. K";"IND";" 1";"Graduate";"40";"70000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"JAHANGEER. M.I";"IND";" 1";"Graduate";"41";"1904000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"KALIMUTHU. K";"IND";"0";"8th Pass";"56";"1405000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MOHAMMED ABITH ALI. R";"JMM";"0";"8th Pass";"40";"1760394";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MURUGENDRAN. G";"IND";"0";"Graduate Professional";"31";"11000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"PRISCILLA PANDIAN";"BSP";"0";"Graduate Professional";"39";"26250893";"942530";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SALEEMULLA KHAN S";"MAMAK";" 9";"10th Pass";"37";"579855";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SATHIAMOORTHY. V";"ADMK";" 1";"Graduate Professional";"64";"11799874";"1500000";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SCHWARTZ DURAI. S";"IND";" 1";"Graduate";"37";"1050000";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SHANMUGAIYA PANDIAN. S";"IND";"0";"10th Pass";"45";"2356500";"0";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SINGAI JINNAH. S";"DMDK";"0";"Post Graduate";"39";"5270924";"1318625";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"THIRUNNAVUKKARASAR. SU";"BJP";"0";"Post Graduate";"60";"22307839";"250687";"No";"RAMANATHAPURAM";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
