"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"VENUGOPAL.D";"DMK";"0";"Others";"73";"57010000";"1538546";"Yes";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"AFROZ HUSNA. K.S";"LJP";"0";"12th Pass";"38";"447831";"83203";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"ARUMUGAM A.A";"IND";"0";"10th Pass";"31";"6095500";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"BALASUNDAR S";"IND";"0";"Graduate Professional";"33";"10000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"DHAYANITHI S";"IND";"0";"8th Pass";"29";"50000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"ERSHAD B";"IND";"0";"12th Pass";"34";"20000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"GOVINDASAMY. P";"BSP";"0";"Post Graduate";"62";"2882824";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"GURU (A) GURUMOORTHY S";"IND";"0";"12th Pass";"31";"18500";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"GURU C";"IND";"0";"8th Pass";"32";"302000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"GURUSAMY P";"IND";"0";"8th Pass";"61";"517115";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"HARI KRISHNAN S";"IND";"0";"Not Given";"41";"201000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"KUMAR M.M";"IND";"0";"10th Pass";"55";"0";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MANIKANDAN P";"IND";"0";"8th Pass";"30";"350000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MANIKANDAN.S";"DMDK";"0";"Graduate";"29";"1006447";"163246";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MURUGAN S";"IND";"0";"Graduate";"36";"335000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"NAGAMALAI R";"IND";"0";"12th Pass";"32";"40000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAJARAM S.A";"PNK";"0";"5th Pass";"39";"0";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAVI R";"IND";"0";"Graduate";"37";"20000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAVINDIRAN A";"IND";"0";"12th Pass";"37";"10000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SAMPATH A";"IND";"0";"Not Given";"39";"5000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SELVAM A";"IND";"0";"5th Pass";"33";"110000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SELVARAJ.P";"SP";"0";"8th Pass";"61";"50000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SELVARAJU J";"IND";"0";"Post Graduate";"26";"140000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SENTHIL M";"IND";"0";"12th Pass";"29";"30000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SHANMUGARAJAN A";"IND";"0";"Graduate";"44";"149000";"65000";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SHANMUGAVEL M";"IND";"0";"Post Graduate";"33";"130000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SINGARAVELAN P";"IND";"0";"12th Pass";"28";"123990";"1152";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SIVADEVAN N";"IND";" 1";"12th Pass";"28";"300000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"VENUGOPAL S.R";"IND";"0";"8th Pass";"38";"35000";"0";"No";"TIRUVANNAMALAI";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
