"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ABDUL RAHMAN";"DMK";"0";"Graduate";"49";"12547128";"3297328";"Yes";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"ABDUL MAJEED OOSI";"IND";"0";"Graduate";"62";"1212000";"250192";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"ARIUDAI NAMBI D";"IND";"0";"12th Pass";"49";"0";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"CHANDRAN C";"IND";"0";"Post Graduate";"61";"7960000";"2115000";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"DANDAPANI T";"IND";"0";"Not Given";"42";"381780";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"EKAMBARAM E A";"NMK";"0";"8th Pass";"69";"7550000";"25000";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"ESWARAN R";"IND";"0";"5th Pass";"44";"42000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"GOPALAKRISHNAN C";"IND";"0";"Graduate Professional";"36";"5477600";"820500";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"GOVINDARAJI P V";"SP";"0";"12th Pass";"40";"2750000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"KUBENDIRAN D";"IND";"0";"Not Given";"46";"0";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MANSOOR AHMED";"BSP";"0";"12th Pass";"46";"55148565";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"MUNIYAPPAN K";"Anaithindia Dravidar Samudaya Munnetra Kazhag";"0";"Graduate";"59";"600000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"NARAYANAN R";"Akila India Vallalar Peravai";"0";"12th Pass";"45";"30000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"NATRAJAN P";"IND";" 1";"10th Pass";"59";"8550000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"PALANI R T";"IND";"0";"5th Pass";"57";"15000";"50000";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"PERUMAL D";"IND";"0";"10th Pass";"32";"0";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAJAN BABU B";"MMKA";"0";"Post Graduate";"34";"2000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAJENDIRAN A K";"BJP";" 1";"Graduate";"54";"576804";"141674";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"RAMAN";"IND";"0";"Graduate Professional";"31";"676000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SHOUKATH SHERIF";"DMDK";"0";"Graduate";"43";"44423212";"1635645";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"SURESHKUMAR P";"IND";" 2";"12th Pass";"25";"0";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"THAGIR AHAMED";"LJP";"0";"Doctorate";"66";"683021";"100000";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"VASU L K M B";"ADMK";" 2";"12th Pass";"48";"8344707";"1209685";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
"VIJAYAKUMAR";"IND";" 1";"Graduate";"54";"2575000";"0";"No";"VELLORE";"TAMIL NADU";"2009";"Lok Sabha";"No Comment"
