"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KUNWAR REWATI RAMAN SINGH ALIAS MANI JI";"SP";"0";"Graduate Professional";"65";"18640164";"226475";"Yes";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ABHAY SRIVASTAVA";"IND";"0";"Not Given";"31";"30000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"AJUG NARAIN";"IND";"0";"Literate";"33";"125000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"AKBAL MOHAMMD";"IND";"0";"8th Pass";"34";"559000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ASHOK KUMAR BAJPAI";"BSP";"0";"Graduate Professional";"58";"149578657";"2405886";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BAIJAL KUMAR";"BSP(K)";"0";"Not Given";"48";"50000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BAJRANG DUTT";"IND";"0";"12th Pass";"36";"50000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BIHARI LAL SHARMA";"AD";"0";"12th Pass";"54";"2220000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DR. MOHD. SALMAN RASHIDI";"IND";"0";"Literate";"57";"498789";"64000";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"GOPAL SWROOP JOSHI";"IND";"0";"Graduate";"62";"1095000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"GULAB GRAMEEN";"Lok Dal";"0";"12th Pass";"47";"25300";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"HIRA LAL";"IND";"0";"Graduate";"54";"557416";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KM. KUSUM KUMARI AD";"IND";"0";"Graduate Professional";"45";"76000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KM. SHASHI PANDEY";"IND";"0";"Others";"45";"550000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MUNNU PRASAD";"IND";"0";"12th Pass";"44";"37500";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"NARENDRA KUMAR TEWARI";"IND";"0";"12th Pass";"47";"223220";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"OM PRAKASH";"RMSP";"0";"12th Pass";"41";"100000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJ BALI";"IND";"0";"Literate";"51";"40000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJESH PASI";"Rashtriya Swabhimaan Party";"0";"12th Pass";"32";"900000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAKESH KUMAR";"IND";"0";"Post Graduate";"47";"570000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM JEET";"IND";"0";"Graduate";"38";"5000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM LAL";"IND";"0";"Graduate Professional";"46";"1700000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM PARIKHAN SINGH";"JPS";"0";"5th Pass";"59";"145000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMA KANT";"IJP";"0";"Post Graduate";"47";"3645000";"127665";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAVI PRAKASH";"IND";"0";"Not Given";"41";"34800";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SADHNA AGARWAL";"IND";"0";"Graduate";"47";"32261800";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SARFUDDIN";"NELU";"0";"Graduate";"32";"150000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHYAM KRISHNA PANDEY";"INC";"0";"Graduate Professional";"65";"6158929";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"VIJAY SHANKAR";"BSA";"0";"8th Pass";"45";"4000";"0";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"YOGESH SHUKLA";"BJP";"0";"12th Pass";"39";"2426964";"409652";"No";"Allahabad";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
