"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"R. K. SINGH PATEL";"SP";" 1";"Graduate";"49";"34107955";"0";"Yes";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"AMITA BAJPAI";"BJP";"0";"Post Graduate";"39";"8592000";"300000";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ANAND YADAV";"UCPI";"0";"Graduate Professional";"45";"1280000";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ANSH DHARI";"IND";"0";"Others";"29";"1701000";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ASHOK KUMAR";"IJP";" 1";"Graduate Professional";"40";"6700000";"226000";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BALENDRA NATH";"IND";"0";"Graduate";"38";"330000";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BHAGAWAN DEEN GARG";"INC";"0";"Post Graduate";"47";"2255459";"1173466";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BHAIRON PRASAD MISHRA";"BSP";" 1";"12th Pass";"55";"5665128";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JAGAN NATH SINGH";"IND";"0";"Post Graduate";"62";"15345000";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"LALIT KUMAR";"Ambedkar Samaj Party";"0";"12th Pass";"37";"1520000";"355000";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MANOJ KUMAR";"IND";"0";"Post Graduate";"30";"2275195";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PARASHU RAM NISHAD";"AD";"0";"Graduate Professional";"45";"3350000";"250000";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PRAKASH NARAYAN";"IND";"0";"12th Pass";"32";"21000";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SANTOSH KUMAR";"CPI";"0";"8th Pass";"54";"1125000";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIV KUMAR";"IND";"0";"Graduate Professional";"43";"63365";"0";"No";"BANDA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
