"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"ARVIND KUMAR CHAUDHARY";"BSP";"0";"12th Pass";"43";"18643936";"0";"Yes";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BASANT CHAUDHARY";"INC";" 1";"Not Given";"43";"6415000";"12600000";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DALBAG SINGH";"BSP(K)";"0";"10th Pass";"50";"3155000";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DAYASHANKAR PATWA";"PECP";"0";"Literate";"57";"341801251";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DR. Y. D. SINGH";"BJP";"0";"Post Graduate";"64";"28509688";"388378";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"OM PRAKASH";"VAJP";"0";"12th Pass";"40";"295000";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJ KISHOR SINGH";"SP";" 1";"Graduate";"38";"8563689";"544163";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM LALAN YADAV";"IND";"0";"Post Graduate";"36";"111151";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM NAYAN PATEL";"AD";"0";"12th Pass";"49";"1765000";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SANJEEV KUMAR NISHAD";"BUM";"0";"8th Pass";"27";"3400";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SATISH CHANDRA SHARMA";"IND";"0";"Graduate";"40";"2140000";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SATYADEV OJHA";"IND";"0";"Graduate";"70";"252250";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIV POOJAN ARYA";"IND";"0";"12th Pass";"52";"285000";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVDAS";"Shoshit Samaj Dal";"0";"12th Pass";"50";"915500";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SITARAM NISHAD";"JPS";"0";"Not Given";"63";"121000";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"VINOD KUMAR RAJBHAR";"SBSP";"0";"12th Pass";"33";"41504";"0";"No";"BASTI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
