"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SANJAY SINGH CHAUHAN";"RLD";"0";"Graduate Professional";"48";"35352625";"5254245";"Yes";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ABDUL BASIT";"KKJHS";"0";"Graduate";"64";"1092325";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ABDUL SAMAD";"IND";"0";"10th Pass";"37";"211943";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"CHAND KUMAR";"IND";"0";"Post Graduate";"48";"794000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DAVENDER SINGH";"IND";"0";"Post Graduate";"72";"3137082";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DIGVIJAY SINGH";"IND";"0";"12th Pass";"30";"1866700";"32000";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DR. YASHVIR SINGH";"SP";"0";"Doctorate";"62";"188835577";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"IRFAN ALI";"IND";"0";"Post Graduate";"45";"3301166";"175000";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KARTAR SINGH BHADANA";"NCP";" 1";"10th Pass";"59";"140362327";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MOHD. AFSHAR";"Ambedkar Samaj Party";"0";"8th Pass";"33";"614155";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MONU KUMAR RAVI";"IND";"0";"8th Pass";"25";"83000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PARAS RAM";"VAJP";"0";"8th Pass";"46";"6805000";"386000";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PRABHAT KUMAR";"IND";"0";"12th Pass";"32";"405000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJ RISHI";"IND";"0";"12th Pass";"46";"2118000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM GIRI";"IND";"0";"Literate";"62";"2250000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SABDUL";"IND";"0";"8th Pass";"37";"13130229";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SAGIR AHMAD";"NLHP";" 4";"Literate";"51";"171000";"55825";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SAIDUZZAMAN";"INC";" 1";"Post Graduate";"67";"12685348";"2315000";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SALESH KUMAR ALIAS SADHAWI SARLESH GIRI";"MKUP";"0";"8th Pass";"41";"9055000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHAHID SIDDIQUI";"BSP";"0";"Post Graduate";"58";"27305316";"53074";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVA CHARAN";"IND";"0";"8th Pass";"71";"458000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SURENDRA SINGH";"IJP";"0";"Post Graduate";"49";"95000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SURESH CHAND";"RMSP";"0";"8th Pass";"44";"715000";"0";"No";"BIJNOR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
