"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"KAMLESH";"SP";"0";"5th Pass";"43";"844005";"0";"Yes";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ASHOK KUMAR PRADHAN";"BJP";"0";"12th Pass";"53";"25263357";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BALRAM";"ABHM";"0";"12th Pass";"43";"1889000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DEVI DAYAL";"INC";"0";"Post Graduate";"66";"22337000";"302557";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JAY BHAGWAN";"NBNP";"0";"10th Pass";"35";"55000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KANTI";"Akhil Bharatiya Rajarya Sabha";"0";"10th Pass";"54";"200000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KARAN SINGH BHOOCHAL";"RMEP";"0";"12th Pass";"56";"1975000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PRAVEEN";"IND";"0";"10th Pass";"32";"372000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAGHURAJ SINGH";"RTKP";"0";"8th Pass";"45";"701000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJ KUMAR GAUTAM";"BSP";"0";"Graduate Professional";"36";"1339528";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJO";"NELU";"0";"Others";"31";"13476485";"300000";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SOHAN PAL";"NLHP";"0";"Literate";"45";"50000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SUDHA SINGH";"RPI";"0";"Graduate";"37";"2653500";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SURAJMUKHI GAUTAM";"UNLP";"0";"Illiterate";"38";"282000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SUSHILA SINGH";"RDMP";"0";"Graduate Professional";"60";"902000";"0";"No";"Bulandshahr";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
