"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DR. MAHADEEPAK SINGH SHAKYA";"INC";"0";"Post Graduate";"84";"9213000";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DR. SHYAM SINGH SHAKYA";"BJP";"0";"Post Graduate";"49";"15593814";"524092";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"INDRA PAL";"RSUPRP";"0";"Not Given";"46";"337500";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KALIYAN SINGH";"IND";"0";"8th Pass";"54";"3880000";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KALYAN SINGH";"IND";"0";"Illiterate";"69";"6000610";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KUNWAR DEVENDRA SINGH YADAV";"BSP";" 2";"Doctorate";"60";"208759178";"22400000";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MUNABBAR HUSAIN";"NLHP";" 1";"Not Given";"55";"8872190";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PREETY";"IND";"0";"Graduate";"26";"108000";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PUSHPA";"IND";"0";"Post Graduate";"57";"2515000";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJENDRA";"IND";"0";"Graduate";"46";"3277500";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJESH";"IND";"0";"10th Pass";"34";"549000";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJVEER SINGH";"VAJP";"0";"Literate";"46";"4254874";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RISHIPAL";"BRPP";"0";"Not Given";"46";"1365596";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SANDEEP";"RPI(A)";"0";"Graduate";"48";"12052000";"0";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SATENDRA KUMAR";"IND";" 1";"Graduate";"50";"6624034";"50000";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHABBIR";"NELU";"0";"8th Pass";"50";"2245000";"200000";"No";"ETAH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
