"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"SURENDRA SINGH NAGAR";"BSP";" 2";"Graduate";"44";"492084300";"0";"Yes";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ANIL KUMAR";"IND";"0";"10th Pass";"32";"725000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ARVIND";"ANC";"0";"Graduate";"35";"11010000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"CHOTE LAL";"RYS";"0";"10th Pass";"48";"8683748";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DHARAMVIR";"IND";"0";"10th Pass";"64";"31000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DR JAMAL AHAMAD KHAN";"NLHP";" 1";"Post Graduate";"62";"101186607";"2514343";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"GHANSHYAM SHARMA";"RWS";"0";"8th Pass";"34";"16280000";"515000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JAGAT SINGH";"IND";"0";"10th Pass";"43";"2496000";"475000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"K.K SHARMA";"NCP";"0";"Graduate Professional";"50";"513000";"250000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KAMLESH CHOUDHRY";"IND";"0";"Graduate Professional";"44";"7709000";"1231000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KINNAR GUDDI SHARMA";"IND";"0";"Literate";"46";"760000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"LUBNA ASHIF";"All India Minorities Front";"0";"Post Graduate";"25";"308000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MAHESH";"IND";"0";"12th Pass";"40";"28969560";"1495000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MAHESH KUMAR SHARMA";"BJP";" 1";"Graduate Professional";"48";"158575632";"20953174";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MANOJ";"IND";" 1";"12th Pass";"34";"4647500";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"NARENDRA SINGH BHATTI";"SP";" 1";"12th Pass";"50";"21545679";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"POONAM";"BSP(K)";"0";"Graduate";"31";"55540";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PREM SINGH";"RPI";"0";"5th Pass";"44";"5510000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAHIS";"NELU";"0";"Illiterate";"50";"4979000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJENDRA PAL SINGH";"IND";"0";"Graduate";"58";"830000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMESH CHAND TOMAR";"INC";" 4";"Post Graduate";"59";"33566195";"500000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RESHAM SWAROOP";"IND";"0";"12th Pass";"43";"3341500";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHAILESH KUMAR SRIVASTVA";"IND";"0";"Not Given";"43";"2955000";"225000";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHER SINGH";"Awami Party";"0";"8th Pass";"41";"475800";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SONIA SHARMA";"IND";"0";"Graduate";"33";"1951000";"0";"No";"Gautam Budhha Nagar";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
