"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RAJNATH SINGH";"BJP";" 1";"Post Graduate";"57";"14902703";"0";"Yes";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ANWAR AHMED";"NBNP";" 1";"Not Given";"61";"320673000";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"AZIJ KHAN";"IJP";"0";"10th Pass";"43";"1680000";"200000";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DAYA (HIJRA)";"IND";"0";"Illiterate";"51";"941000";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"HARI SHANKAR SHARMA";"BPD";"0";"Doctorate";"63";"16964367";"2248599";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"IQBAL";"NLHP";" 1";"Literate";"50";"6899177";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"K.Z. BUKHARI";"NELU";"0";"Graduate";"63";"1390000";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"LAL SINGH";"IND";"0";"8th Pass";"45";"1901885";"7483";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PT. AMAR PAL SHARMA";"BSP";"0";"12th Pass";"40";"69342885";"1240482";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SAMAR SINGH";"IND";" 1";"Graduate Professional";"63";"7083165";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SANJAY SHARMA";"ABHM";" 5";"Not Given";"30";"308011";"500000";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SATISH";"IND";"0";"Graduate";"57";"6287395";"300000";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"TRILOK SINGH RAWAT";"IND";"0";"Graduate";"33";"2969610";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"VINOD";"IND";" 3";"10th Pass";"47";"696000";"0";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"YATAN SHARMA";"IND";"0";"8th Pass";"43";"4875975";"200000";"No";"GHAZIABAD";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
