"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DARA SINGH CHAUHAN";"BSP";" 2";"10th Pass";"50";"2044115";"927848";"Yes";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"AKHILESH";"JPS";"0";"12th Pass";"43";"231000";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ARSHAD JAMAL ANSARI";"SP";"0";"Post Graduate";"43";"2465633";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ASHOK KUMAR";"IND";"0";"Graduate";"27";"150000";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ATUL KUMAR SINGH ANJAN";"CPI";"0";"Post Graduate";"55";"4026760";"3153";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"HARISH CHANDRA";"RJPK";"0";"Post Graduate";"62";"13400386";"1491564";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KAILASH YADAV";"PECP";" 2";"10th Pass";"46";"2373122";"200000";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"LALJI RAJBHAR";"BSD";"0";"12th Pass";"44";"1580000";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PALAKDHARI";"IND";"0";"Not Given";"41";"0";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAKESH";"IND";"0";"Graduate Professional";"34";"51000";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM BADAN KAUL";"BSA";" 1";"Graduate";"60";"1000000";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM IQBAL";"BJP";" 3";"Post Graduate";"49";"4028821";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMESH ALIAS RAJU SINGH";"SBSP";"0";"12th Pass";"41";"3500000";"642000";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SUDHA RAI";"INC";"0";"Doctorate";"54";"10366720";"477000";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SUJIT KUMAR";"IND";" 4";"Graduate";"34";"501182";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ZAKIR HUSSAIN";"IND";"0";"Graduate";"45";"215718";"0";"No";"GHOSI";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
