"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DHANANJAY SINGH";"BSP";" 1";"Post Graduate";"33";"4362656";"678982";"Yes";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ACHHEYLAL NISHAD";"NELU";"0";"Not Given";"61";"1995000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"AJAY KASYAP - GUDDU";"IND";"0";"Literate";"26";"960500";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BAHADUR SONKAR";"IJP";"0";"Literate";"48";"150000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"GEETA SINGH";"RDMP";"0";"Graduate Professional";"46";"1600000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"GIRAJA SHANKAR YADAVA";"GGP";"0";"Others";"49";"1141655";"140";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JAGDISH CHANDRA ASTHANA";"IND";"0";"Graduate Professional";"62";"2281000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PARAS NATH YADAVA";"SP";"0";"12th Pass";"54";"13874968";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJESH S/O RAMYAGYA";"EKSP";"0";"10th Pass";"32";"1655238";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAJKISHUN";"Rashtriya Swabhimaan Party";"0";"Post Graduate";"26";"950000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMCHANDAR";"RASD";"0";"8th Pass";"52";"1067695";"20000";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SEEMA";"BJP";"0";"Post Graduate";"37";"2838000";"135000";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"TASLEEM AHMED REHMANI";"IND";"0";"Others";"45";"5444843";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
