"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"DR. BALIRAM";"BSP";"0";"Doctorate";"56";"8003036";"638922";"Yes";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ACHCHHELAL";"IND";"0";"8th Pass";"42";"120000";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"CHANDRA RAM ALIAS CHANDU SAROJ";"IND";"0";"Post Graduate";"36";"85584";"350000";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DAROGA PRASAD SAROJ";"SP";" 5";"Graduate";"60";"5573553";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DHARMRAJ";"IND";"0";"10th Pass";"55";"754201";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"HARI PRASAD SONKAR";"CPI";"0";"Literate";"50";"132569";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MANBHAWAN";"BRPP";"0";"Not Given";"32";"759500";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"NEELAM SONKAR";"BJP";"0";"Post Graduate";"33";"11555274";"1300000";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM DAYAL ALIAS MOHAN";"SBSP";"0";"8th Pass";"32";"9000";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SUKHNAYAN";"IND";"0";"12th Pass";"29";"195000";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"URMILA DEVI";"IND";"0";"Literate";"27";"596000";"0";"No";"LALGANJ";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
