"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"JAYANT K SINGH";"RLD";" 1";"Post Graduate";"30";"30204219";"288327";"Yes";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ASHRAF ALI";"NLHP";"0";"12th Pass";"34";"6179564";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"BABU LAL SHARMA";"IND";"0";"Post Graduate";"70";"55000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DEVENDRA";"RALP";"0";"Graduate Professional";"27";"262000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"FAKKAR BABA";"IND";"0";"10th Pass";"64";"12000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"GOPAL SAINI";"IND";"0";"5th Pass";"25";"54000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"HEERA SINGH";"NELU";"0";"Not Given";"44";"550000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JAGDISH";"IND";"0";"10th Pass";"34";"1634000";"331000";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JAI PRAKASH";"IND";"0";"Graduate Professional";"35";"214500";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MANVENDRA SINGH";"INC";"0";"12th Pass";"62";"14959430";"1649007";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PITAM SINGH";"IND";"0";"Graduate";"72";"9468000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"PRAMOD KUMAR PACHAURI";"IND";"0";"Graduate";"41";"8134000";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHYAM SUNDAR";"IND";"0";"10th Pass";"31";"2800500";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHYAM SUNDER SHARMA";"BSP";"0";"Post Graduate";"57";"32557287";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"VINOD";"IND";"0";"Graduate Professional";"41";"61430";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"YADRAM PANKAJ";"BSP(K)";" 2";"10th Pass";"56";"5038200";"0";"No";"MATHURA";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
