"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"RAJKUMARI RATNA SINGH";"INC";" 5";"Graduate";"49";"678270725";"1002000";"Yes";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"A. RASHID ANSARI";"MC";" 1";"Graduate";"54";"1789119";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ARUN KUMAR";"Samajwadi Janata Party (Rashtriya)";"0";"12th Pass";"48";"101549";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DINESH PANDEY ALIAS D.K. PANDEY";"IND";"0";"Not Given";"34";"265000";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"JITENDRA PRATAP SINGH";"IND";"0";"12th Pass";"40";"135000";"50000";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KUNWAR AKSHAYA PRATAP SINGH";"SP";" 5";"8th Pass";"41";"42118096";"19054082";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"LAKSHMI NARAIN PANDEY (GURU JI)";"BJP";" 2";"Graduate";"57";"15785801";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MUNEESHWAR SINGH";"IND";"0";"Graduate Professional";"65";"1475000";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAM SAMUJH";"IND";"0";"Others";"60";"200000";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMESH KUMAR";"IND";"0";"Graduate";"31";"912463";"30540";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RANI PAL";"IND";"0";"Literate";"58";"150000";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SATRAM";"IND";"0";"Graduate Professional";"42";"127000";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SHIVRAM";"IND";"0";"12th Pass";"51";"2415000";"185000";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"UDHAV RAM";"IND";"0";"Graduate";"53";"380000";"0";"No";"PRATAPGARH";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
