"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"MITHLESH";"SP";"0";"Graduate";"48";"8035655";"1746024";"Yes";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"ARVIND KUMAR";"RSMD";"0";"Literate";"33";"231000";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DAULATRAM";"PECP";"0";"Post Graduate";"49";"3908872";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"DR JAUHARI LAL";"NCP";"0";"Doctorate";"66";"30538912";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"HEERALAL";"Ambedkar Pragatisheel Republican Dal";" 1";"12th Pass";"36";"396000";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KRISHNA RAJ";"BJP";" 1";"Post Graduate";"41";"10377933";"347587";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"KUNWARPAL";"IND";"0";"12th Pass";"34";"68000";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MAHESH PAL SINGH";"IND";"0";"10th Pass";"32";"501100";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MALKHAN SINGH";"IND";"0";"Post Graduate";"63";"1160211";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"MEWARAM";"IND";"0";"12th Pass";"44";"824315";"25320";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMPRAKASH";"Akhil Bharatiya Rajarya Sabha";"0";"Post Graduate";"56";"1855000";"60655";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"RAMSEWAK";"AIFB";"0";"Graduate";"38";"355000";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SANGHPAL";"IND";" 2";"Post Graduate";"39";"162100";"0";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"SUNITA SINGH";"BSP";"0";"10th Pass";"40";"58574867";"1800000";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
"UMED SINGH";"INC";"0";"12th Pass";"42";"56226000";"2200000";"No";"SHAHJAHANPUR";"UTTAR PRADESH";"2009";"Lok Sabha";"No Comment"
