"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Acharia Basudeb";"CPM";"0";"Post Graduate";"67";"3249037";"0";"Yes";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Ashwini Duley";"JKP(N)";"0";"8th Pass";"51";"0";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Byasdeb Chakrabortty";"JD(U)";"0";"Post Graduate";"37";"252000";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Ganesh Ray";"BSP";"0";"10th Pass";"34";"0";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Lakshmi Sarka";"IND";"0";"12th Pass";"54";"1400000";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Paresh Marand";"JMM";" 2";"Not Given";"54";"850000";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Prabir Banerj";"IND";"0";"Graduate";"36";"60615";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Rahul (Biswajit) Sinha";"BJP";"0";"Graduate";"45";"3241249";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Subrata Mukherj";"INC";"0";"Post Graduate";"63";"1894341";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Sudhir Kumar Murmu";"CPI(ML)(L)";"0";"10th Pass";"40";"40000";"200000";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Tapan Kumar Pathak";"RDMP";" 1";"Not Given";"27";"150000";"0";"No";"Bankura";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
