"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Jaswant Singh";"BJP";"0";"Graduate";"70";"83571845";"744864";"Yes";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Abhijit Majumda";"CPI(ML)(L)";"0";"Post Graduate";"48";"2855000";"600000";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Arun Kumar Agarwal";"IND";" 1";"12th Pass";"48";"16232570";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Baidyanath Roy";"IPFB";"0";"12th Pass";"55";"250000";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Dawa Narbula";"INC";"0";"Post Graduate";"73";"9800000";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Haridas Thaku";"BSP";"0";"Graduate";"62";"2915000";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Jibesh Sarka";"CPM";"0";"Graduate";"55";"1975469";"148320";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Niranjan Saha";"Amra Bangalee";"0";"Graduate";"50";"153000";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Nitu Ja";"IND";"0";"12th Pass";"35";"4050000";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Ram Ganesh Baraik";"IND";"0";"Literate";"44";"2300";"0";"No";"DARJEELING";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
