"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Deepa Dasmunsi";"INC";"0";"Post Graduate";"48";"12514145";"0";"Yes";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Abdul Karim Chowdhary";"IND";" 4";"Graduate";"62";"14307000";"581400";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Akhil Ranjan Mondal";"BSP";"0";"Graduate";"62";"7750000";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Anil Biswas";"IND";"0";"Literate";"49";"0";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Bireswar Lah";"CPM";"0";"Post Graduate";"60";"2294140";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Faiz Rahama";"RDMP";"0";"Graduate";"45";"425000";"300300";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Gopesh Chandra Sarka";"BJP";"0";"Doctorate";"66";"3623491";"40381";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Manas Jana";"IND";"0";"Doctorate";"36";"1090308";"850000";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Matiur Rahma";"JD(U)";"0";"12th Pass";"49";"360000";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Nachhir Ali Pramanik";"IND";" 1";"10th Pass";"64";"1184000";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Suleman Hafij";"CPI(ML)(L)";"0";"10th Pass";"54";"201500";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
"Upendra Nath Das";"IND";" 2";"10th Pass";"47";"640340";"0";"No";"RAIGANJ";"WEST BENGAL";"2009";"Lok Sabha";"No Comment"
