"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kothapalli Geetha";"Yuvajana Sramika Rythu Congress Party";"0";"Post Graduate";"43";"65147467";"43261606";"Yes";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Biddika Ramayya";"IND";"0";"Literate";"52";"15500";"15000";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Boorjabariki Dhanaraju";"AAP";"0";"Graduate";"33";"52000";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Gummidi Sandhya Ra";"TDP";"0";"Graduate";"41";"2587354";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Illa Ramireddy";"IND";"0";"5th Pass";"60";"310000";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Kangala Baludora";"IND";"0";"5th Pass";"59";"650000";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Kishore Chandra Suryanarayana Deo Vyricherla";"INC";"0";"Post Graduate";"67";"41503500";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Midiyam Baburao";"CPI(M)";"0";"Graduate Professional";"63";"2230750";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Sallangi Ratnam";"IND";"0";"Graduate";"35";"1485000";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Sankara Rao Chett";"IND";"0";"Post Graduate";"33";"40150";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Sankara Rao Vanugu";"IND";"0";"Doctorate";"39";"612528";"0";"No";"ARAKU";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
