"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"S.p.y Reddy";"Yuvajana Sramika Rythu Congress Party";" 2";"Graduate Professional";"64";"219577179";"1077820";"Yes";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"B.y.ramaiah";"INC";"0";"Post Graduate";"48";"5279000";"630000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"G. Balaswamy";"IND";" 2";"Doctorate";"42";"4639275";"350000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"I V Pakkir Reddy";"IND";"0";"Graduate";"66";"6776465";"0";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Kommusani Pedda Kambagiriswam";"IND";"0";"10th Pass";"33";"370000";"0";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"M Ramana Reddy";"IND";"0";"8th Pass";"50";"320000";"0";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Mallikarjuna Reddy Nossam";"Jai Samaikyandhra Party";"0";"Post Graduate";"30";"3109500";"2075000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Nashyam Mohammad Farook";"TDP";" 4";"10th Pass";"62";"31599109";"0";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Obulesu Thudum";"BSP";"0";"Post Graduate";"38";"1590000";"150000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"P V N Reddy";"All India Majlis-E-Ittehadul Muslimeen";"0";"Graduate Professional";"36";"182000";"0";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Pichika Narendra Dev";"IND";"0";"10th Pass";"49";"151000";"0";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Pidisala Vijay Kuma";"IND";"0";"Others";"37";"325500";"930000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Ullagi David Jaya Kuma";"AAP";"0";"Doctorate";"56";"229000";"140000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Vangala Sreenivasa Reddy";"IND";" 1";"Graduate";"0";"5050000";"650000";"No";"NANDYAL";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
