"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Varaprasad Rao Velagapalli";"Yuvajana Sramika Rythu Congress Party";"0";"Doctorate";"61";"129128388";"3132962";"Yes";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Chinta Moha";"INC";"0";"Graduate Professional";"59";"11433300";"2242572";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Degala Surya Narayana";"Pyramid Party of India";"0";"Others";"39";"80000";"0";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Dr. U Ramachandra, M.b.b.s";"BSP";" 1";"Graduate Professional";"43";"19006100";"3000000";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Jayaram Karumanch";"BJP";"0";"12th Pass";"54";"696322";"0";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Kalavapalli Sahadevaiah";"IND";"0";"Graduate Professional";"46";"5440036";"657242";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Karatapu Subbaiah Munirathnam";"IND";"0";"Graduate";"60";"2916762";"500000";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Kattamanchi Prabhaka";"IND";"0";"Post Graduate";"46";"194845";"700000";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Kothapalli Subramanyam";"CPI(M)";"0";"Graduate Professional";"45";"1426110";"0";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Manapati Solmo";"Andhra Rastra Praja Samithi";"0";"Graduate Professional";"60";"6244000";"75000";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Neerugutta Nageswara";"AAP";" 1";"Graduate";"26";"264920";"120000";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Nune Vengaiah";"IND";"0";"Graduate";"56";"6766231";"99000";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
"Songa Ratnamma";"IND";"0";"10th Pass";"54";"0";"0";"No";"TIRUPATI";"ANDHRA PRADESH";"2014";"Lok Sabha";"No Comment"
