"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sushil Kumar Singh";"BJP";" 5";"Post Graduate";"48";"127845854";"7321626";"Yes";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Bagi Kumar Verma";"JD(U)";"0";"Graduate";"61";"32766379";"1600000";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Durga Thaku";"IND";"0";"10th Pass";"55";"730000";"0";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Nikhil Kuma";"INC";"0";"Post Graduate";"72";"297302441";"0";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Ragini Lata Singh";"AAP";"0";"Post Graduate";"49";"14532000";"183755";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Rakesh Sharma";"IND";"0";"Doctorate";"42";"12693861";"828288";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Ramji Singh";"IND";"0";"Post Graduate";"45";"1310000";"50000";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Rita Dev";"SP";"0";"10th Pass";"43";"5136715";"800000";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Santosh Kuma";"BSP";" 2";"Graduate";"45";"130000";"0";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Somaru Paswa";"IND";"0";"Literate";"58";"3269500";"0";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Upendra Nath";"Bahujan Mukti Party";" 1";"Post Graduate";"46";"9228000";"0";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Usha Shara";"Shoshit Samaj Dal";" 1";"Literate";"43";"3900000";"1000";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Vijeet Kuma";"IND";"0";"Graduate";"29";"400000";"0";"No";"AURANGABAD";"BIHAR";"2014";"Lok Sabha";"No Comment"
