"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Jaiprakash Narayan Yadav";"RJD";" 2";"Post Graduate";"60";"27846274";"791539";"Yes";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Akhil Bhartiya Sharma";"IND";"0";"Graduate Professional";"48";"50000";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Alimuddin Ansa";"IND";"0";"Others";"53";"352000";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Deepak Kuma";"SUCI(C)";"0";"12th Pass";"35";"2633089";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Inderaj Singh Sa";"IND";"0";"10th Pass";"70";"11918305";"2000000";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Mahboob Alam Ansa";"Bharatiya Momin Front";"0";"Post Graduate";"55";"8071913";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Mithilesh Kumar Singh";"National Loktantrik Party";"0";"10th Pass";"31";"1986983";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Mukesh Kumar Sinha";"Bhartiya Ekta Manch Party";"0";"Doctorate";"42";"6905132";"2588967";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Naresh Kumar Priyadarsh";"IND";"0";"Graduate";"38";"3863500";"250000";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Niraj Kuma";"AAP";"0";"12th Pass";"43";"1977100";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Putul Kuma";"BJP";" 2";"Post Graduate";"54";"58028261";"725973";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Sanjay Kuma";"BSP";" 1";"10th Pass";"58";"1800000";"1200000";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Sanjay Kuma";"CPI";" 3";"Post Graduate";"50";"23633247";"9460885";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Sargun Sah";"IND";"0";"8th Pass";"59";"1824000";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Subodh Narayan Jha";"AITC";"0";"Graduate";"63";"7726666";"2250000";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Umakant Yadav";"Bahujan Mukti Party";"0";"Graduate Professional";"63";"3015000";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Viajy Bhart";"Rajnaitik Vikalp Party";"0";"10th Pass";"59";"353558";"0";"No";"BANKA";"BIHAR";"2014";"Lok Sabha";"No Comment"
