"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kirti Azad";"BJP";" 4";"Graduate";"55";"28531267";"431860";"Yes";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Brahmadeo Prasad Kary";"Bajjikanchal Vikas Party";"0";"Doctorate";"61";"4328327";"919512";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Colonel Lakshmeshwar Mishra";"CPI(ML)L";"0";"Graduate Professional";"55";"15406445";"2079445";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Durganand Mahavir Nayak,";"BSP";" 2";"Post Graduate";"42";"63562000";"304995";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Faizal Ahmad,";"Janta Dal Rashtravadi";"0";"Graduate";"28";"60000";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Hriday Narayun Yadav";"CPI(M)";" 2";"8th Pass";"72";"7363000";"51576";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Jainath";"Bahujan Mukti Party";"0";"10th Pass";"33";"3295482";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Kedar Kumar Keshav";"SHS";"0";"Post Graduate";"46";"8366241";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Krishna Kumar Paswa";"IND";"0";"Graduate";"29";"22000";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Md. Ali Ashraf Fatm";"RJD";"0";"Post Graduate";"60";"16036505";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Prabhat Ranjan Das";"AAP";"0";"Doctorate";"56";"364642463";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Pradeep Paswa";"IND";" 1";"12th Pass";"38";"392707";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Praveen Kumar Jha";"IND";"0";"Post Graduate";"41";"11558930";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Sadre Alam Khan,";"Akhil Bhartiya Mithila Party";"0";"10th Pass";"65";"1726698";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
"Sanjay Kumar Jha";"JD(U)";"0";"Post Graduate";"46";"181383957";"0";"No";"DARBHANGA";"BIHAR";"2014";"Loksabha";"No Comment"
