"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chirag Kumar Paswan";"LJP";"0";"12th Pass";"32";"10414470";"4458954";"Yes";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Binod Kumar Das";"AAP";" 1";"12th Pass";"34";"252600";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Brahmadav Anand Paswa";"BSP";"0";"12th Pass";"58";"9493973";"175000";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Dilip Paswa";"IND";"0";"10th Pass";"30";"1531232";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Jai Prakash Das";"CPI(ML)L";"0";"8th Pass";"61";"143450";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Manoj Kumar Manjh";"IND";"0";"12th Pass";"32";"121000";"150000";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Subhash Paswa";"IND";"0";"Not Given";"45";"163000";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Sudhansu Shekhar Bhaska";"RJD";"0";"Doctorate";"46";"13950638";"1206926";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Uday Narain Choudhary";"JD(U)";"0";"Graduate";"61";"9827813";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Upendra Ravidas";"JMM";"0";"10th Pass";"35";"421280000";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
"Vishun Chaudhary";"SHS";"0";"8th Pass";"56";"190000";"0";"No";"JAMUI";"BIHAR";"2014";"Loksabha";"No Comment"
