"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Upendra Kushwaha";"Rashtriya Lok Samta Party";" 4";"Post Graduate";"51";"24829741";"823834";"Yes";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Bhairaw Dayal Singh";"IND";"0";"Post Graduate";"70";"16847000";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Dinesh Kuma";"Bahujan Mukti Party";" 1";"Doctorate";"34";"478500";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Ghulam Kundanam";"AAP";" 1";"Graduate Professional";"43";"623000";"280800";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Imran Al";"IND";"0";"Graduate";"27";"7845";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Kanti Singh";"RJD";" 4";"Graduate";"59";"60390021";"337826";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Mahabali Singh";"JD(U)";" 5";"8th Pass";"59";"33437255";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Md. Dilbas Ansa";"IND";"0";"Post Graduate";"62";"70000";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Pradeep Kumar Josh";"Rashtra Sewa Dal";" 21";"12th Pass";"45";"11721162";"11908841";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Raja Ram Singh";"CPI(ML)L";" 4";"Graduate Professional";"58";"6796970";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Rajani Dubey";"Akhil Bharatiya Jan Sangh";"0";"Graduate";"41";"8324677";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Ram Dayal Singh";"IND";"0";"Graduate";"59";"3256600";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Sanjay Kewat";"BSP";"0";"Graduate";"29";"1997000";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Satya Narayan Singh";"IND";"0";"Graduate";"51";"19450824";"2396194";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
"Veena Bhart";"Janvadi Party(Socialist)";"0";"8th Pass";"38";"729000";"0";"No";"KARAKAT";"BIHAR";"2014";"Loksabha";"No Comment"
