"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Mohammad Asrarul Haque";"INC";" 2";"Post Graduate";"67";"4616629";"0";"Yes";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Akhtarul Ima";"JD(U)";" 1";"Post Graduate";"48";"4907533";"820788";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Alimuddin Ansa";"AAP";"0";"10th Pass";"59";"5210680";"0";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Chitranjan Singh";"IND";"0";"10th Pass";"51";"630000";"20000";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Chote Lal Mahto";"IND";"0";"5th Pass";"37";"334500";"0";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Dr Dilip Kumar Jaiswal";"BJP";"0";"Doctorate";"50";"32949581";"5793000";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Manowar Alam";"Janta Dal Rashtravadi";"0";"12th Pass";"39";"465813";"215";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Md.naushad";"BSP";"0";"8th Pass";"35";"370000";"316000";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Mohammad Gulab Siddiqu";"Loktantrik Janata Party (Secular)";"0";"8th Pass";"44";"296809";"0";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Mohammad Wasiqur Rahma";"IUML";" 2";"12th Pass";"36";"4830500";"166000";"No";"KISHANGANJ";"BIHAR";"2014";"Lok Sabha";"No Comment"
