"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ram Kripal Yadav";"BJP";" 1";"Graduate";"53";"13989431";"2100000";"Yes";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Avinash Kuma";"Bharatiya Jan Kranti Dal (Democratic)";"0";"Post Graduate";"53";"1520412";"56797";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Chandra Dev Prasad";"Bahujan Mukti Party";"0";"Post Graduate";"41";"479600";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Dev Kumar Verma";"RPI(A)";"0";"12th Pass";"56";"4333000";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Durgesh Nandan Singh";"IND";"0";"Graduate Professional";"37";"3273000";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Jai Prakash Yadav";"IND";"0";"Graduate Professional";"54";"1434000";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Kumar Indra Bhusha";"IND";" 2";"Graduate";"40";"9122284";"285000";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Kundan Prasad Singh";"AAP";"0";"12th Pass";"57";"4833000";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Minendra Kumar Singh";"IND";"0";"Others";"62";"1867902";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Misha Bhart";"RJD";" 1";"Graduate Professional";"39";"47634901";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Mukul Kumar Sharma";"Sankhyanupati Bhagidari Party";" 1";"10th Pass";"26";"2212400";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Nagendra Kuma";"Bharat Vikas Morcha";"0";"Graduate";"33";"1166489";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Niraj Kuma";"IND";"0";"Graduate";"48";"51500";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Pancham Lal";"IND";"0";"Graduate";"63";"29991521";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Raj Kumar Ram";"BSP";"0";"10th Pass";"41";"660000";"450000";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Rameshwar Prasad";"CPI(ML)L";" 6";"8th Pass";"67";"2386000";"0";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Ranjan Prasad Yadav";"JD(U)";"0";"Doctorate";"69";"55327154";"1766678";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Shatrudhan Shah";"Bharatiya Ekta Dal";"0";"10th Pass";"46";"2030000";"50000";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Sunil Kuma";"Samajwadi Janata Party (Rashtriya)";"0";"12th Pass";"41";"800000";"150000";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Sunil Kumar Singh";"IND";"0";"Post Graduate";"45";"123369500";"61000";"No";"PATALIPUTRA";"BIHAR";"2014";"Lok Sabha";"No Comment"
