"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rama Devi";"BJP";" 6";"Graduate Professional";"65";"308591850";"0";"Yes";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Angesh Kuma";"BSP";" 2";"Graduate Professional";"43";"179440000";"5750000";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Jagranath Saha";"Sarvajan Kalyan Loktantrik Party";" 1";"Post Graduate";"31";"2462500";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Jata Shankar Aatreya";"Rajnaitik Vikalp Party";"0";"Post Graduate";"51";"12081068";"534719";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Lakshman Paswa";"JMM";"0";"8th Pass";"47";"237345";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Lovely Anand";"SP";" 1";"Graduate";"39";"12804755";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Md Anwarul Haqu";"RJD";" 7";"Others";"70";"19580000";"1149181";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Md Nasruddin Ansa";"National Lokmat Party";"0";"Literate";"41";"184000";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Ram Lobhit Paswa";"Bahujan Mukti Party";"0";"Literate";"67";"1790554";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Rama Shankar Singh";"AIFB";"0";"12th Pass";"40";"3012000";"1000000";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Ramashish Mahto";"IND";"0";"8th Pass";"69";"4134220";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Sanjay Prasad";"IND";"0";"10th Pass";"43";"8172300";"399000";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Shahid Ali Kha";"JD(U)";" 3";"Graduate Professional";"54";"47446000";"2985065";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Shatrughan Sahu";"AAP";"0";"Post Graduate";"38";"2204235";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
"Shivanandan Prasad";"IND";"0";"Post Graduate";"70";"50204169";"0";"No";"SHEOHAR";"BIHAR";"2014";"Lok Sabha";"No Comment"
