"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Nityanand Rai";"BJP";" 1";"Graduate";"48";"146743540";"3965423";"Yes";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Alok Kumar Mehta";"RJD";" 4";"Graduate Professional";"45";"51615071";"3661335";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Amrendra Kumar Yadav";"Rashtriya Krantikari Samajwadi Party";" 2";"Post Graduate";"41";"796700";"12500";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Arjun Kumar Sah";"IND";"0";"8th Pass";"29";"1760800";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Ashwamedh Dev";"JD(U)";"0";"5th Pass";"51";"8916714";"3430311";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Bindeshwari Saha";"Proutist Sarva Samaj";"0";"10th Pass";"63";"4420630";"84000";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Dharmendra Saha";"BSP";" 1";"12th Pass";"34";"33000";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Jitendra Kumar Ra";"SHS";"0";"12th Pass";"37";"1845000";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Kishor Kuma";"Rashtriya Lok Samta Party";"0";"12th Pass";"36";"16197016";"50000";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Madhu";"Bahujan Mukti Party";"0";"Graduate Professional";"33";"3791100";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Md. Tahir Arma";"Naya Daur Party";"0";"Graduate";"27";"14000";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Mintu Paswa";"IND";"0";"Graduate";"31";"24000";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Mithilesh Kumar Jha";"JMM";"0";"12th Pass";"51";"1350000";"95000";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Phool Babu Singh";"CPI(ML)L";" 2";"Post Graduate";"37";"2073785";"25000";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Prem Lata Dev";"Jai Prakash Janata Dal";"0";"Literate";"42";"197950";"36000";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Prithwinath Prasad";"Mahamukti Dal";"0";"Graduate";"46";"153271";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Ram Deo Verma";"CPI(M)";" 3";"Graduate";"67";"4179608";"597864";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Shivani Uma";"Janta Dal Rashtravadi";"0";"10th Pass";"42";"410500";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
"Suresh Choudhary";"AAP";"0";"Post Graduate";"71";"10027072";"0";"No";"UJIARPUR";"BIHAR";"2014";"Loksabha";"No Comment"
