"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Vikram Usendi";"BJP";"0";"10th Pass";"48";"23376000";"869000";"Yes";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Amal Say So";"IND";"0";"Graduate";"42";"362500";"400000";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Foolodevi Netam";"INC";"0";"12th Pass";"42";"4819534";"0";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Hemlal Markam";"GGP";" 1";"Graduate";"32";"967000";"0";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Jamuna Mandav";"Chhattisgarh Swabhiman Manch";"0";"Graduate";"42";"3321000";"1065000";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Mahendra Gawad";"IND";"0";"12th Pass";"37";"306413";"0";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Malik Ram Thaku";"Ambedkarite Party of India";"0";"10th Pass";"52";"2397500";"805000";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Ramesh Kumar Gawd";"CPI";" 1";"8th Pass";"38";"65000";"100000";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Ramsay Korram";"BSP";"0";"12th Pass";"38";"1070000";"9594";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Santosh Kumar Dhruw";"AAP";"0";"Graduate";"41";"195543";"0";"No";"KANKER";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
