"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chandu Lal Sahu (chandu Bhaiya) S/o Late Puneen Ram";"BJP";"0";"Graduate Professional";"54";"20879652";"2700000";"Yes";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Abha Pandey";"Chhattisgarh Swabhiman Manch";"0";"8th Pass";"32";"5708000";"150000";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Ajit Pramod Kumar Jog";"INC";" 1";"Graduate Professional";"67";"61583410";"1500000";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Champa Lal Patel";"IND";"0";"Graduate";"47";"1860000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandoo Lal Sahu S/o Avadh Ram Sahu";"IND";"0";"8th Pass";"25";"4000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Lal Sahu S/o Balchand Sahu";"IND";"0";"10th Pass";"0";"209000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Lal Sahu S/o Biju Ram Sahu";"IND";"0";"5th Pass";"26";"6000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Lal Sahu S/o Late Nathu Ram";"IND";"0";"5th Pass";"40";"254500";"150000";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Lal Sahu S/o Parmanand Sahu";"IND";"0";"Literate";"61";"2574000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Lal Sahu S/o Same Lal Sahu";"IND";"0";"8th Pass";"40";"1114000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Lal Sahu S/o Soju Lal Sahu";"IND";"0";"8th Pass";"42";"1307000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Ram Sahu S/o Nakul Sahu";"IND";"0";"5th Pass";"56";"12000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chandu Ram Sahu S/o Pilau Ram Sahu";"IND";"0";"8th Pass";"60";"648000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Chanduram Sahu S/o Ram Karosa Sahu";"IND";"0";"Literate";"58";"12000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Dev Prasad Kelka";"IND";"0";"10th Pass";"50";"6915060";"250000";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Gangadhar Patel";"IND";"0";"5th Pass";"53";"929000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Hemant Pradha";"IND";"0";"8th Pass";"53";"219000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Kanhaiya Sahu";"BSP";"0";"Graduate";"51";"42374312";"120000";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Lakshman Masturiya";"AAP";"0";"Post Graduate";"64";"2242689";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Mohan Lal Patel";"Bhartiya Shakti Chetna Party";"0";"10th Pass";"51";"4383500";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Moti Lal Sahu S/o Bajaraha Ram Sahu";"IND";"0";"12th Pass";"35";"7759000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Moti Lal Sahu S/o Sone Lal Sahu";"IND";"0";"8th Pass";"35";"1354000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Patel Shri Dhar Chandraka";"Apna Dal";" 1";"Post Graduate";"42";"24903805";"1378101";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Preeti Dhruw";"GGP";"0";"Others";"33";"150000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Rupanand So";"IND";"0";"12th Pass";"38";"185433";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Sukhnandan Deshka";"IND";"0";"8th Pass";"43";"7750000";"465000";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
"Vijay Kumar Patel";"IND";"0";"Post Graduate";"44";"3249000";"0";"No";"MAHASAMUND";"CHHATTISGARH";"2014";"Lok Sabha";"No Comment"
