"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Vaghela Liladharbhai Khodaji";"BJP";"0";"Graduate Professional";"80";"15384027";"0";"Yes";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Bhoraniya Soyabbhai Hasambha";"IND";"0";"8th Pass";"47";"2413000";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Desai Ishwarbhai Mahadevbha";"IND";"0";"Literate";"53";"1027300";"240000";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Govindji Okhaji Thako";"JD(U)";" 1";"5th Pass";"62";"1891361";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Jagrala Imran Mahemud";"IND";"0";"8th Pass";"37";"4219599";"1914236";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Jakasiji Jogaji Thako";"Bahujan Mukti Party";"0";"8th Pass";"44";"1181531";"335000";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Molapiya Abdulkudus Abdulmajid";"IND";"0";"5th Pass";"39";"189000";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Nagori Imrankhan Mahmadkha";"IND";"0";"Post Graduate";"31";"291000";"78000";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Parmar Bhaichandbhai Somabha";"Republican Party of India Ektavadi";"0";"5th Pass";"59";"273000";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Parmar Maganbhai Amarabha";"BSP";"0";"10th Pass";"44";"940000";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Prajapati Chhaganbhai Naranbha";"IND";"0";"10th Pass";"60";"2237121";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Rabari Babubhai Karshanbha";"SP";" 1";"5th Pass";"50";"445000";"0";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Rathod Bhavsinhbhai Dahyabha";"INC";"0";"Literate";"78";"6163441";"3019000";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
"Vaghda Jivabhai Devabha";"IND";"0";"5th Pass";"53";"6550000";"1500000";"No";"PATAN";"GUJARAT";"2014";"Lok Sabha";"No Comment"
