"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. K.c.patel";"BJP";"0";"Graduate Professional";"65";"131141867";"2381344";"Yes";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Babubhai Chhaganbhai Talaviya";"Bahujan Mukti Party";"0";"Graduate";"60";"1944802";"0";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Budhabhai Ranchhodbhai Patel";"IND";"0";"10th Pass";"53";"9773500";"0";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Gaurangbhai Rameshbhai Patel";"Hindustan Janta Party";" 1";"12th Pass";"30";"240000";"0";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Kishanbhai Vestabhai Patel";"INC";" 2";"12th Pass";"48";"9272641";"2857545";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Laxmanbhai Chhaganbhai Vadia";"CPI(ML)L";" 1";"5th Pass";"55";"1104125";"0";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Pankajkumar Parbhubhai Patel";"Aadivasi Sena Party";" 1";"Graduate Professional";"45";"3718604";"0";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Patel Govindbhai Ranchhodbha";"AAP";" 1";"Post Graduate";"68";"533572";"300000";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Patel Shaileshbhai Gandabha";"JD(U)";"0";"8th Pass";"44";"1875886";"0";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
"Thakriya Ratilal Vajirbha";"BSP";"0";"5th Pass";"64";"1395000";"239575";"No";"VALSAD";"GUJARAT";"2014";"Loksabha";"No Comment"
