"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dushyant Chautala";"INLD";"0";"Graduate";"26";"361326990";"68744460";"Yes";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Arun Kuma";"IND";"0";"12th Pass";"31";"13095700";"320000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Atam Parkash";"IND";"0";"Post Graduate";"58";"13665554";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Baljeet";"IND";"0";"Graduate";"35";"410700";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Balwan Singh";"IND";"0";"12th Pass";"49";"3560500";"300000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Dr. Rajesh Mahendia";"IND";"0";"Doctorate";"39";"3298180";"350000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Dr. Yudhbir Singh Khyalia";"AAP";"0";"Doctorate";"59";"23346340";"7678981";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Hansraj";"IND";"0";"12th Pass";"42";"60000";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kartar Singh";"IND";"0";"Graduate";"62";"36950500";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep Bishno";"HJC(BL)";" 1";"Graduate";"45";"786595116";"104464405";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep S/o Ishwar Singh";"IND";"0";"Graduate";"33";"1522160";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep S/o Karan Singh";"IND";"0";"8th Pass";"37";"225700";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep S/o Madan Lal";"IND";"0";"5th Pass";"48";"1012562";"48000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep S/o Narain Singh";"IND";"0";"5th Pass";"30";"55000";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep S/o Pardum";"IND";"0";"Post Graduate";"30";"260000";"102000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep S/o Sajja";"IND";"0";"12th Pass";"38";"6548165";"137000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Kuldeep Singh S/o Shishpal";"Bahujan Mukti Party";"0";"Post Graduate";"25";"25500";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Mamta Ra";"Rashtrawadi Parivartan Party (L.B,)";"0";"8th Pass";"46";"3922079";"138000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Mange Ram";"BSP";"0";"12th Pass";"45";"14755486";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Narend";"IND";" 1";"10th Pass";"43";"30260500";"700000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Naresh Batra";"IND";"0";"10th Pass";"43";"38729000";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Narinder Kuma";"IND";"0";"Others";"32";"8931000";"600000";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Om Parkash";"Bharatiya Sant Mat Party";"0";"10th Pass";"37";"2024000";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Phul Singh";"CPI(M)";"0";"Graduate";"56";"14551828";"1022496";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Raj Kuma";"IND";"0";"10th Pass";"31";"66000";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Raj Singh";"IND";"0";"Others";"39";"708500";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Rakesh Kumar (rinku Bhai)";"IND";"0";"12th Pass";"27";"451122";"28102";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Ramphal";"IND";"0";"12th Pass";"34";"26200";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Sampat Singh";"INC";"0";"Post Graduate";"64";"62661560";"14371778";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Satb";"IND";"0";"5th Pass";"53";"4959708";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Shiv Kuma";"IND";"0";"10th Pass";"46";"305500";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
"Shravan Kumar Asija";"IND";"0";"12th Pass";"55";"2380000";"0";"No";"HISAR";"HARYANA";"2014";"Loksabha";"No Comment"
