"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ashwini Kumar";"BJP";" 6";"Graduate";"57";"698638135";"153937858";"Yes";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Arvind Kumar Sharma";"INC";"0";"Post Graduate";"51";"35428444";"15584114";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Arvind Tiwa";"IND";"0";"Doctorate";"45";"160000";"0";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Ashish";"AIFB";"0";"Graduate";"30";"2077000";"1100000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Davinder Singh";"Rashtriya Karmyog Party";"0";"12th Pass";"50";"240000";"0";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Devend";"RPI(A)";"0";"12th Pass";"29";"625000";"201000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Duli Chand";"Lok Parivartan Party(DC)";"0";"Graduate Professional";"66";"4828000";"290000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Jagbir Singh Rana";"IND";"0";"Post Graduate";"55";"54297291";"2759783";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Jagdish";"IND";"0";"Illiterate";"65";"4778000";"60000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Jaswinder Singh";"INLD";"0";"10th Pass";"58";"46436884";"2562000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Khatab Singh Mo";"Bhartiya Shakti Chetna Party";"0";"12th Pass";"38";"14880000";"200000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Kismat Sharma";"IND";"0";"10th Pass";"0";"1350000";"540000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Mahinder Pal";"IND";"0";"5th Pass";"36";"8401000";"8000000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Mahmood Hassa";"IND";"0";"8th Pass";"54";"1622345";"640000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Mam Chand";"CPI";"0";"Illiterate";"70";"37120000";"2100000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Maratha Virender Verma";"BSP";"0";"Graduate Professional";"59";"96600000";"0";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Pale Ram Kashyap";"Rashtriya Janshakti Party(Eklavya)";"0";"10th Pass";"47";"731148";"0";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Paramjit Singh";"AAP";"0";"Graduate";"36";"2863613";"1382819";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Puran Singh Panwa";"Rashtravadi Janata Party";"0";"Graduate Professional";"67";"3621304";"296000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Rajesh Kuma";"IND";"0";"Graduate";"34";"18210000";"225000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Ramphal Sharma";"IND";"0";"10th Pass";"57";"4537000";"0";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Savit";"IND";"0";"Illiterate";"42";"3700000";"200000";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
"Shashi Sa";"IND";"0";"Post Graduate";"52";"73585000";"0";"No";"KARNAL";"HARYANA";"2014";"Loksabha";"No Comment"
