"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Charanjeet Singh";"INLD";"0";"10th Pass";"43";"8146887";"3260000";"Yes";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Ashok Tanwa";"INC";" 1";"Doctorate";"38";"72777188";"11222039";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Balwant Singh";"Bharatiya Sant Mat Party";"0";"10th Pass";"45";"1053000";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Comrade Ram Kuma";"CPI(M)";"0";"12th Pass";"46";"877705";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Dr. Sushil Indora";"HJC(BL)";"0";"Graduate Professional";"54";"31066422";"28522";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Fakir Chand";"IND";"0";"8th Pass";"55";"438500";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Hansraj Hansa";"Jan Morcha";"0";"12th Pass";"42";"77000";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Jagdish";"IND";"0";"Graduate";"39";"759500";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Jaipal Bhatt";"IND";"0";"5th Pass";"44";"2300000";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Mange Ram";"BSP";"0";"Graduate";"73";"6507759";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Manjeet Singh";"IND";"0";"5th Pass";"33";"710000";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Mewa Singh";"IND";"0";"5th Pass";"43";"5696200";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Poonam Chand";"AAP";"0";"12th Pass";"58";"3825442";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Raj Kumar Naga";"SP";"0";"Graduate";"43";"5675000";"3200000";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Rajbir Palna";"IND";"0";"Post Graduate";"28";"356000";"37362";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Ranvir Khobra";"IND";"0";"Graduate";"26";"7896000";"1450000";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Sanjiv Bhojraj";"VANCHITSAMAJ INSAAF PARTY";" 1";"10th Pass";"26";"106000";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
"Surender Kuma";"IND";"0";"12th Pass";"36";"131500";"0";"No";"SIRSA";"HARYANA";"2014";"Loksabha";"No Comment"
